,pc1,BoringDetails,JobSecurity,RightWrongWay,DifficultCommunication,Type
8579,-0.2176887854254132,3,4,3,2,Mobile developer
8609,-1.3323139442691638,2,4,4,1,Mobile developer
8686,0.08566950123383324,4,4,4,5,Mobile developer
8691,-1.3323139442691638,2,3,2,1,Mobile developer
8756,-0.2176887854254132,2,4,3,3,Mobile developer
8824,0.2004987896869778,3,4,4,3,Mobile developer
8976,0.6519025769438392,2,3,2,2,Mobile developer
9058,0.6519025769438392,4,3,2,2,Mobile developer
9161,-0.3478932934467664,2,4,4,2,Mobile developer
9313,1.0700901520562303,3,4,4,3,Mobile developer
9325,0.3485442902845928,3,3,2,3,Mobile developer
9473,1.6184822351899744,3,4,4,2,Mobile developer
9587,3.4878694679498325,2,2,4,2,Mobile developer
9608,0.10351049381009496,3,5,4,2,Mobile developer
9658,-1.3323139442691638,2,5,5,3,Mobile developer
9665,-0.462722581899911,3,5,2,2,Mobile developer
9837,0.6519025769438392,4,4,4,2,Mobile developer
9975,-0.31467708130229605,3,3,3,2,Mobile developer
10088,-0.462722581899911,3,4,2,3,Mobile developer
10281,0.08566950123383324,2,4,4,3,Mobile developer
10329,-1.3323139442691638,3,3,3,1,Mobile developer
10391,2.069886022446836,3,3,5,1,Mobile developer
10501,-0.7660808685591572,2,3,2,2,Mobile developer
10535,-0.9141263691567726,2,5,4,1,Mobile developer
10549,0.2004987896869778,5,4,2,3,Mobile developer
10623,0.10351049381009496,4,3,1,4,Mobile developer
10651,0.7999480775414544,2,5,4,3,Mobile developer
10656,-0.7839218611354192,3,2,2,2,Mobile developer
10685,0.6186863647993688,2,5,2,4,Mobile developer
10738,1.2002946600775835,1,3,4,2,Mobile developer
10740,-0.04453500678752002,3,5,5,2,Mobile developer
10860,0.6519025769438392,3,5,3,3,Mobile developer
10883,0.6519025769438392,2,5,4,2,Mobile developer
10885,0.2337150018314483,3,4,2,2,Mobile developer
10886,0.08566950123383324,4,5,5,2,Mobile developer
10981,-0.880910157012302,2,4,4,2,Mobile developer
10984,0.0702942816656245,2,3,3,2,Mobile developer
11105,0.10351049381009496,3,5,1,2,Mobile developer
11205,-1.3323139442691638,2,4,3,2,Mobile developer
11241,-0.31467708130229605,3,4,4,2,Mobile developer
11285,-1.3323139442691638,1,3,2,2,Mobile developer
11341,1.233510872222054,3,3,3,2,Mobile developer
11447,2.7841645987544568,2,5,3,2,Mobile developer
11575,-0.7839218611354192,2,5,2,2,Mobile developer
11652,0.2337150018314483,3,2,2,3,Mobile developer
11734,0.2004987896869778,2,3,2,2,Mobile developer
11810,-0.07775121893199055,3,5,5,2,Mobile developer
11839,-1.3323139442691638,2,4,5,2,Mobile developer
11850,-1.3323139442691638,5,3,1,2,Mobile developer
11888,-0.3478932934467664,2,4,3,2,Mobile developer
11959,0.10351049381009496,2,5,5,2,Mobile developer
11960,0.6519025769438392,3,3,2,3,Mobile developer
11979,0.2004987896869778,3,3,1,2,Mobile developer
12100,0.3485442902845928,2,3,3,4,Mobile developer
12111,-1.3323139442691638,3,2,4,2,Mobile developer
12115,-0.9141263691567726,3,4,4,5,Mobile developer
12199,-0.7660808685591572,4,3,3,3,Mobile developer
12204,0.6519025769438392,3,3,3,2,Mobile developer
12344,0.6519025769438392,3,4,3,2,Mobile developer
12565,-0.36573428602302815,3,2,5,2,Mobile developer
12624,-0.7660808685591572,3,4,3,1,Mobile developer
12747,-0.7660808685591572,1,5,2,3,Mobile developer
12781,0.6519025769438392,3,4,3,1,Mobile developer
12819,0.0702942816656245,2,4,5,2,Mobile developer
12832,-0.31467708130229605,3,4,2,2,Mobile developer
12834,3.054306673269233,2,4,4,2,Mobile developer
12895,-1.3323139442691638,2,3,4,1,Mobile developer
12918,2.7841645987544568,3,4,3,3,Mobile developer
12965,-1.3323139442691638,3,4,3,2,Mobile developer
12985,1.218135652653845,2,4,3,2,Mobile developer
13004,-0.2176887854254132,2,1,3,1,Mobile developer
13060,-0.31467708130229605,4,3,4,2,Mobile developer
13096,-0.7660808685591572,2,4,5,2,Mobile developer
13118,-1.3323139442691638,2,4,5,1,Mobile developer
13288,-1.3323139442691638,4,5,2,3,Mobile developer
13359,0.10351049381009496,4,2,3,2,Mobile developer
13391,-1.3323139442691638,3,4,4,3,Mobile developer
13399,-0.3478932934467664,4,4,4,4,Mobile developer
13488,0.2337150018314483,3,4,5,2,Mobile developer
13532,0.6519025769438392,4,4,4,4,Mobile developer
13535,1.233510872222054,1,5,5,2,Mobile developer
13547,1.748686743211327,2,4,4,2,Mobile developer
13620,-0.7839218611354192,2,4,5,2,Mobile developer
13720,-0.880910157012302,3,5,2,4,Mobile developer
13722,-1.3323139442691638,2,5,4,1,Mobile developer
13755,-1.3323139442691638,1,5,3,2,Mobile developer
13792,-1.3323139442691638,4,3,4,3,Mobile developer
13807,0.330703297708331,1,4,3,2,Mobile developer
13829,-0.36573428602302815,2,2,4,3,Mobile developer
13985,-0.7839218611354192,2,4,1,2,Mobile developer
14111,-1.3323139442691638,4,3,5,5,Mobile developer
14143,2.2179315230444505,2,3,3,3,Mobile developer
14236,-0.880910157012302,4,3,3,1,Mobile developer
14264,-0.7660808685591572,2,3,2,1,Mobile developer
14313,1.0700901520562303,4,4,4,3,Mobile developer
14348,0.2337150018314483,3,4,3,2,Mobile developer
14356,1.315123948530728,2,4,2,4,Mobile developer
14370,-0.9141263691567726,2,3,2,2,Mobile developer
14372,-0.7660808685591572,1,5,2,3,Mobile developer
14394,-1.3323139442691638,2,4,3,2,Mobile developer
14450,-0.31467708130229605,3,4,2,2,Mobile developer
14458,1.7665277357875893,3,3,3,2,Mobile developer
14496,-1.3323139442691638,3,4,3,1,Mobile developer
14497,0.6519025769438392,3,4,5,3,Mobile developer
14499,-0.7839218611354192,2,4,2,2,Mobile developer
14516,-0.7839218611354192,2,2,2,2,Mobile developer
14576,-0.7660808685591572,2,5,2,1,Mobile developer
14583,0.6519025769438392,2,4,5,2,Mobile developer
14614,-0.7660808685591572,4,4,4,4,Mobile developer
14641,-0.31467708130229605,2,4,3,2,Mobile developer
14651,-1.3323139442691638,2,2,2,2,Mobile developer
14673,-0.7660808685591572,2,4,4,4,Mobile developer
14776,-0.31467708130229605,2,3,4,3,Mobile developer
14799,0.2337150018314483,3,4,4,3,Mobile developer
14824,-1.3323139442691638,2,4,4,3,Mobile developer
14860,-0.2176887854254132,2,4,3,2,Mobile developer
15010,-1.3323139442691638,2,4,3,2,Mobile developer
15230,0.10351049381009496,3,4,5,2,Mobile developer
15235,1.0700901520562303,2,4,4,2,Mobile developer
15341,0.10351049381009496,1,5,1,2,Mobile developer
15360,1.1033063642007006,3,3,3,4,Mobile developer
15395,-1.3323139442691638,2,4,1,2,Mobile developer
15508,-0.33251807387855764,1,4,4,3,Mobile developer
15552,0.6519025769438392,2,3,4,1,Mobile developer
15582,-0.19984779284915144,3,4,2,3,Mobile developer
15586,-0.2176887854254132,2,2,3,2,Mobile developer
15639,0.6519025769438392,2,4,2,2,Mobile developer
15642,2.2179315230444505,3,4,2,2,Mobile developer
15667,-1.3323139442691638,1,5,5,1,Mobile developer
15708,0.08566950123383324,4,4,5,2,Mobile developer
15743,-0.2176887854254132,3,5,2,2,Mobile developer
15847,1.2002946600775835,3,4,5,4,Mobile developer
15979,-0.880910157012302,3,2,3,2,Mobile developer
15999,-0.2176887854254132,2,4,4,2,Mobile developer
16096,0.7821070849651927,2,4,2,3,Mobile developer
16114,1.6184822351899744,3,5,5,5,Mobile developer
16150,-1.3323139442691638,2,3,2,3,Mobile developer
16176,-0.7660808685591572,1,5,2,2,Mobile developer
16186,-0.33251807387855764,2,2,3,2,Mobile developer
16189,1.2002946600775835,3,4,2,2,Mobile developer
16376,1.3661811532514603,3,3,3,4,Mobile developer
16665,-1.3323139442691638,5,5,2,4,Mobile developer
16679,-1.3323139442691638,2,4,2,2,Mobile developer
16720,-1.3323139442691638,1,5,4,3,Mobile developer
16725,-1.3323139442691638,3,4,4,2,Mobile developer
17043,0.2004987896869778,3,3,3,2,Mobile developer
17400,0.5216980689224859,3,5,5,2,Mobile developer
17476,1.121147356776962,2,4,2,2,Mobile developer
17736,-0.3478932934467664,3,4,3,2,Mobile developer
17750,1.0700901520562303,3,4,3,1,Mobile developer
17765,-1.3323139442691638,2,5,4,2,Mobile developer
17812,1.651698447334445,5,3,2,2,Mobile developer
17914,0.2337150018314483,2,3,4,3,Mobile developer
18079,0.6519025769438392,4,4,2,3,Mobile developer
18233,1.2002946600775835,3,2,3,3,Mobile developer
18279,-0.2176887854254132,2,3,2,4,Mobile developer
18456,0.6519025769438392,3,3,4,3,Mobile developer
18477,0.2004987896869778,2,5,5,3,Mobile developer
18540,-0.7660808685591572,3,5,2,2,Mobile developer
18653,-0.31467708130229605,2,4,3,2,Mobile developer
18684,-1.3323139442691638,1,4,5,1,Mobile developer
18691,-1.3323139442691638,3,3,4,3,Mobile developer
18711,-0.2176887854254132,2,3,5,1,Mobile developer
18738,-0.19984779284915144,3,3,4,4,Mobile developer
18923,0.7999480775414544,2,4,3,2,Mobile developer
18967,0.6519025769438392,3,3,3,3,Mobile developer
19157,0.08566950123383324,2,4,3,1,Mobile developer
19355,-0.3478932934467664,2,4,2,2,Mobile developer
19422,-1.3323139442691638,1,4,2,1,Mobile developer
19582,-0.880910157012302,2,5,3,4,Mobile developer
19831,0.6519025769438392,1,4,2,2,Mobile developer
19843,1.0522491594799686,1,1,2,2,Mobile developer
19870,-0.7660808685591572,2,4,5,2,Mobile developer
19884,-0.9141263691567726,2,3,5,2,Mobile developer
20302,-0.3478932934467664,3,4,2,3,Mobile developer
20390,-0.7660808685591572,3,4,2,2,Mobile developer
20416,-0.7660808685591572,3,4,5,2,Mobile developer
20555,-0.3478932934467664,2,4,3,3,Mobile developer
20612,1.2002946600775835,4,4,2,3,Mobile developer
20763,0.6519025769438392,3,4,4,2,Mobile developer
20800,-0.31467708130229605,2,5,4,2,Mobile developer
20953,-1.3323139442691638,3,3,4,2,Mobile developer
21276,1.3329649411069895,3,3,4,1,Mobile developer
21414,0.6519025769438392,3,4,5,2,Mobile developer
21482,1.218135652653845,2,4,2,2,Mobile developer
21496,2.0877270150230975,2,2,4,3,Mobile developer
21528,0.13672670595456538,3,4,3,3,Mobile developer
21606,-0.880910157012302,1,3,4,1,Mobile developer
21675,-1.3323139442691638,5,1,5,4,Mobile developer
21745,0.7845728579732454,2,3,5,2,Mobile developer
22019,0.10351049381009496,3,3,2,1,Mobile developer
22064,0.25155599440771,4,4,3,3,Mobile developer
22225,0.6519025769438392,3,3,5,2,Mobile developer
22399,0.2337150018314483,2,5,3,2,Mobile developer
22790,-0.31467708130229605,3,3,4,3,Mobile developer
22813,-1.3323139442691638,3,5,3,3,Mobile developer
22899,-0.7839218611354192,2,4,3,1,Mobile developer
22909,-0.7660808685591572,2,4,2,3,Mobile developer
23129,-1.3323139442691638,2,5,5,1,Mobile developer
23152,-0.7660808685591572,4,5,2,2,Mobile developer
23211,0.7821070849651927,4,4,3,3,Mobile developer
23247,1.715470531066857,5,4,2,2,Mobile developer
23294,1.1033063642007006,4,3,3,2,Mobile developer
23358,-1.3323139442691638,2,5,5,2,Mobile developer
23377,2.88115289463134,5,3,1,4,Mobile developer
23468,0.2004987896869778,2,4,3,2,Mobile developer
23511,5.168727702503589,4,4,3,5,Mobile developer
23719,1.3661811532514603,5,5,1,3,Mobile developer
23725,-0.2176887854254132,2,3,2,3,Mobile developer
23812,0.6519025769438392,2,4,4,2,Mobile developer
23972,0.6519025769438392,3,3,4,2,Mobile developer
24161,-0.2176887854254132,2,1,4,2,Mobile developer
24247,0.2004987896869778,3,3,4,1,Mobile developer
24259,0.18265779711071606,2,5,2,2,Mobile developer
24428,-0.9141263691567726,4,5,2,5,Mobile developer
24467,-1.3323139442691638,4,2,4,2,Mobile developer
24513,-1.3323139442691638,3,4,1,2,Mobile developer
24688,-0.2176887854254132,5,4,3,2,Mobile developer
24957,0.6519025769438392,2,3,4,2,Mobile developer
25071,-0.9141263691567726,2,4,3,2,Mobile developer
25077,-1.3323139442691638,2,3,4,1,Mobile developer
25287,2.6361190981568416,3,2,3,2,Mobile developer
25408,0.6519025769438392,4,3,3,3,Mobile developer
25465,-0.7660808685591572,3,3,4,2,Mobile developer
25473,0.3485442902845928,3,4,2,2,Mobile developer
25518,3.865573545453736,5,4,2,4,Mobile developer
25589,-1.3323139442691638,2,3,4,1,Mobile developer
25600,-0.3478932934467664,3,4,5,2,Mobile developer
25698,1.6695394399107062,2,4,2,2,Mobile developer
25943,-0.3478932934467664,4,4,4,1,Mobile developer
26031,-0.31467708130229605,2,3,3,2,Mobile developer
26075,-1.3323139442691638,3,4,4,3,Mobile developer
26305,-1.3323139442691638,5,3,4,2,Mobile developer
26308,0.3485442902845928,2,5,2,3,Mobile developer
26540,-0.33251807387855764,2,3,2,2,Mobile developer
26595,2.1822495378919275,4,4,4,5,Mobile developer
26616,1.5214939393130917,2,3,3,1,Mobile developer
26706,-0.7839218611354192,3,4,4,2,Mobile developer
27037,-0.7839218611354192,2,3,3,2,Mobile developer
27127,-0.3478932934467664,4,2,3,2,Mobile developer
27131,-1.3323139442691638,4,4,2,1,Mobile developer
27224,-0.7660808685591572,2,3,2,2,Mobile developer
27309,-0.7839218611354192,3,4,3,2,Mobile developer
27390,-0.2176887854254132,2,5,3,4,Mobile developer
27461,0.10351049381009496,2,4,2,1,Mobile developer
27606,0.2004987896869778,3,3,2,2,Mobile developer
27636,-0.7660808685591572,5,5,4,4,Mobile developer
28042,0.6186863647993688,2,4,3,1,Mobile developer
28091,0.6519025769438392,2,4,3,2,Mobile developer
28098,-0.7660808685591572,1,2,2,2,Mobile developer
28160,0.08566950123383324,2,3,2,2,Mobile developer
28400,-0.19984779284915144,5,5,5,5,Mobile developer
28407,-1.3323139442691638,5,5,5,5,Mobile developer
28425,-0.3478932934467664,2,4,5,2,Mobile developer
28490,0.6519025769438392,2,2,4,4,Mobile developer
28606,0.10351049381009496,2,4,4,2,Mobile developer
28678,-0.4959387940443814,2,5,3,4,Mobile developer
28734,-0.880910157012302,3,4,5,3,Mobile developer
28810,-0.2176887854254132,2,5,5,2,Mobile developer
28815,-0.7660808685591572,1,4,1,1,Mobile developer
28943,1.0700901520562303,2,3,2,2,Mobile developer
29074,-0.7839218611354192,3,3,2,2,Mobile developer
29089,-1.3323139442691638,2,5,4,2,Mobile developer
29132,-1.3323139442691638,3,3,1,2,Mobile developer
29276,0.10351049381009496,2,5,2,2,Mobile developer
29280,-1.3323139442691638,1,5,5,2,Mobile developer
29406,2.069886022446836,3,3,2,2,Mobile developer
29538,0.2337150018314483,2,4,5,2,Mobile developer
29575,-0.7839218611354192,2,4,1,2,Mobile developer
29984,0.6519025769438392,4,4,3,2,Mobile developer
30177,-0.3478932934467664,3,5,4,4,Mobile developer
30202,1.0700901520562303,3,4,2,1,Mobile developer
30298,0.08566950123383324,2,4,3,2,Mobile developer
30347,-0.36573428602302815,2,4,4,1,Mobile developer
30359,-0.880910157012302,1,3,2,2,Mobile developer
30361,1.1824536675013215,2,3,3,1,Mobile developer
30375,0.2004987896869778,1,4,3,2,Mobile developer
30489,0.5549142810669564,4,5,5,2,Mobile developer
30535,0.2337150018314483,3,4,3,2,Mobile developer
30765,-1.3323139442691638,3,4,3,2,Mobile developer
30796,0.2004987896869778,2,5,4,2,Mobile developer
31151,1.3483401606751986,2,3,3,2,Mobile developer
31181,0.6186863647993688,5,5,3,3,Mobile developer
31219,-1.3323139442691638,2,5,4,2,Mobile developer
31354,-1.3323139442691638,2,5,4,1,Mobile developer
31923,-0.4959387940443814,3,4,5,1,Mobile developer
32002,1.2002946600775835,2,4,4,3,Mobile developer
32053,0.08566950123383324,3,4,3,2,Mobile developer
32057,-0.19984779284915144,3,5,5,3,Mobile developer
32127,6.604552140582848,1,1,1,5,Mobile developer
32174,0.6519025769438392,4,4,4,4,Mobile developer
32178,0.05245328908936277,4,3,5,2,Mobile developer
32304,-0.7839218611354192,3,3,3,2,Mobile developer
32482,-1.3323139442691638,4,5,1,2,Mobile developer
32561,-0.3478932934467664,3,4,2,5,Mobile developer
32632,0.2337150018314483,3,3,3,2,Mobile developer
32639,-0.23552977800167496,3,3,2,2,Mobile developer
32725,0.6519025769438392,2,4,3,3,Mobile developer
32762,-0.31467708130229605,2,4,4,3,Mobile developer
32894,0.2004987896869778,3,4,3,1,Mobile developer
33007,0.6519025769438392,3,4,2,3,Mobile developer
33018,-0.9141263691567726,2,3,4,1,Mobile developer
33024,0.2004987896869778,2,4,2,2,Mobile developer
33277,1.6695394399107062,4,3,4,2,Mobile developer
33484,0.6519025769438392,2,5,4,2,Mobile developer
33488,-1.3323139442691638,5,3,5,1,Mobile developer
33512,-0.7660808685591572,2,3,1,2,Mobile developer
33540,0.6519025769438392,4,4,4,4,Mobile developer
33560,0.6519025769438392,2,4,3,2,Mobile developer
33774,-1.3323139442691638,3,5,5,1,Mobile developer
33841,-0.7660808685591572,2,5,4,2,Mobile developer
33863,-0.462722581899911,3,5,5,3,Mobile developer
33868,1.6695394399107062,3,5,3,3,Mobile developer
33958,-0.7660808685591572,2,4,3,1,Mobile developer
33989,0.6186863647993688,2,3,3,1,Mobile developer
34257,-0.3478932934467664,3,5,5,1,Mobile developer
34403,2.6361190981568416,3,3,3,2,Mobile developer
34435,0.330703297708331,2,3,3,1,Mobile developer
34758,-0.7660808685591572,3,5,2,1,Mobile developer
34831,0.2337150018314483,2,3,3,3,Mobile developer
34867,0.6519025769438392,2,1,3,2,Mobile developer
34921,-0.880910157012302,2,4,3,1,Mobile developer
35157,0.2337150018314483,2,4,4,2,Mobile developer
35220,-0.880910157012302,2,4,4,4,Mobile developer
35225,-1.3323139442691638,3,4,5,5,Mobile developer
35270,-1.3323139442691638,3,5,5,2,Mobile developer
35303,0.6519025769438392,3,3,3,2,Mobile developer
35329,-0.7660808685591572,2,4,4,2,Mobile developer
35434,0.6519025769438392,2,2,2,3,Mobile developer
35449,1.6695394399107062,4,4,3,2,Mobile developer
35534,-1.3323139442691638,3,2,5,1,Mobile developer
35544,0.7667318653969837,1,4,2,2,Mobile developer
35594,-0.36573428602302815,4,3,5,4,Mobile developer
35644,-1.3323139442691638,2,4,4,2,Mobile developer
35731,0.2004987896869778,2,3,1,1,Mobile developer
35769,0.6519025769438392,3,3,4,4,Mobile developer
35852,0.6519025769438392,3,4,4,2,Mobile developer
36412,0.6519025769438392,2,3,3,2,Mobile developer
36675,1.863516031664472,2,3,4,4,Mobile developer
36696,-1.3323139442691638,2,5,3,1,Mobile developer
36756,-0.33251807387855764,3,4,4,4,Mobile developer
36758,0.6697435695201008,5,2,2,2,Mobile developer
36909,-0.3478932934467664,3,3,4,2,Mobile developer
37060,0.6340615843675775,2,3,1,1,Mobile developer
37063,-1.3323139442691638,2,5,3,2,Mobile developer
37115,1.1033063642007006,4,2,3,3,Mobile developer
37165,-1.3323139442691638,1,2,4,2,Mobile developer
37174,-0.3478932934467664,2,3,4,3,Mobile developer
37378,-0.880910157012302,5,3,2,4,Mobile developer
37502,-0.36573428602302815,4,4,2,2,Mobile developer
37527,0.10351049381009496,3,4,5,2,Mobile developer
37585,0.2337150018314483,2,5,4,3,Mobile developer
37875,0.6340615843675775,3,4,2,2,Mobile developer
37892,0.6365273573756304,3,4,5,3,Mobile developer
37943,0.2004987896869778,3,5,5,3,Mobile developer
38033,0.7488908728207221,2,4,2,2,Mobile developer
38067,1.651698447334445,2,5,4,1,Mobile developer
38138,1.5214939393130917,2,4,5,2,Mobile developer
38157,-0.9141263691567726,5,3,1,3,Mobile developer
38222,4.750540127391197,5,4,5,1,Mobile developer
38384,0.10351049381009496,4,4,3,2,Mobile developer
38398,-0.7660808685591572,2,4,5,3,Mobile developer
38448,-1.3323139442691638,3,4,3,2,Mobile developer
38469,-0.04453500678752002,3,4,5,1,Mobile developer
38893,0.2337150018314483,3,2,4,2,Mobile developer
38908,0.18265779711071606,3,4,5,2,Mobile developer
39005,-1.3323139442691638,1,4,2,1,Mobile developer
39100,0.6519025769438392,3,4,2,3,Mobile developer
39136,1.218135652653845,3,4,4,2,Mobile developer
39168,-0.7660808685591572,4,5,3,1,Mobile developer
39346,-0.7660808685591572,3,4,4,3,Mobile developer
39488,2.2179315230444505,4,3,3,4,Mobile developer
39602,0.10351049381009496,2,4,2,2,Mobile developer
39630,-0.3478932934467664,1,4,2,2,Mobile developer
39693,-0.7660808685591572,4,3,4,2,Mobile developer
39699,2.2025563034762423,2,4,4,2,Mobile developer
39801,-1.3323139442691638,3,5,4,2,Mobile developer
39827,0.10351049381009496,2,3,4,3,Mobile developer
39860,0.7999480775414544,4,2,1,3,Mobile developer
39879,-1.3323139442691638,3,3,3,1,Mobile developer
39885,-0.7839218611354192,4,5,2,2,Mobile developer
40262,-1.3323139442691638,1,5,3,2,Mobile developer
40288,0.10351049381009496,3,2,3,1,Mobile developer
40303,-0.23552977800167496,1,4,1,2,Mobile developer
40316,0.6519025769438392,2,4,3,2,Mobile developer
40345,-0.31467708130229605,2,4,3,2,Mobile developer
40414,-1.3323139442691638,4,5,5,2,Mobile developer
40517,0.6519025769438392,4,3,3,3,Mobile developer
40546,-1.3323139442691638,5,4,4,2,Mobile developer
40642,-0.2176887854254132,2,3,2,3,Mobile developer
40927,1.6184822351899744,1,4,4,3,Mobile developer
40942,-1.3323139442691638,4,3,2,3,Mobile developer
40947,-0.2176887854254132,3,3,3,2,Mobile developer
41158,1.0700901520562303,5,3,4,3,Mobile developer
41184,-0.19984779284915144,4,5,3,3,Mobile developer
41286,0.2337150018314483,4,5,4,4,Mobile developer
41297,-1.3323139442691638,2,3,5,2,Mobile developer
41383,-0.2176887854254132,2,4,1,2,Mobile developer
41388,0.6519025769438392,2,4,2,2,Mobile developer
41389,0.6519025769438392,3,4,3,3,Mobile developer
41510,-1.3323139442691638,1,2,2,1,Mobile developer
41520,-1.3323139442691638,3,1,2,1,Mobile developer
41881,1.7665277357875893,4,5,3,2,Mobile developer
41937,1.2002946600775835,3,5,3,2,Mobile developer
41982,-0.31467708130229605,2,2,4,2,Mobile developer
41990,0.08566950123383324,4,3,5,4,Mobile developer
42054,1.0700901520562303,3,4,4,2,Mobile developer
42092,1.218135652653845,3,4,3,4,Mobile developer
42257,1.7665277357875893,2,5,2,3,Mobile developer
42320,-1.3323139442691638,3,2,5,2,Mobile developer
42365,-1.3323139442691638,2,4,4,2,Mobile developer
42416,0.6851187890883096,2,4,2,4,Mobile developer
42451,-1.3323139442691638,3,5,3,2,Mobile developer
42723,1.218135652653845,3,4,2,1,Mobile developer
42829,-1.3323139442691638,2,5,4,1,Mobile developer
42976,2.120943227167568,3,5,2,2,Mobile developer
42992,-0.36573428602302815,3,5,2,2,Mobile developer
43309,0.10351049381009496,2,5,4,3,Mobile developer
43379,0.6519025769438392,2,3,3,2,Mobile developer
43395,-1.3323139442691638,2,5,3,4,Mobile developer
43432,0.2337150018314483,4,4,4,3,Mobile developer
43457,0.10351049381009496,3,4,3,3,Mobile developer
43743,0.6519025769438392,1,2,2,2,Mobile developer
43759,-0.31467708130229605,4,3,1,2,Mobile developer
43799,-0.31467708130229605,3,3,4,4,Mobile developer
43843,0.2337150018314483,3,3,4,2,Mobile developer
43868,-0.23552977800167496,3,5,5,2,Mobile developer
43882,-1.3323139442691638,3,3,3,2,Mobile developer
43957,0.9326183585708606,3,5,3,2,Mobile developer
43993,0.6519025769438392,4,4,2,2,Mobile developer
44109,-0.7839218611354192,2,4,2,2,Mobile developer
44201,-1.3323139442691638,5,5,5,3,Mobile developer
44297,-0.3478932934467664,2,4,1,2,Mobile developer
44406,-1.3323139442691638,4,5,5,1,Mobile developer
44521,-0.7660808685591572,4,5,2,2,Mobile developer
44701,0.8969363734183372,1,5,4,1,Mobile developer
44778,-0.23552977800167496,2,3,3,2,Mobile developer
44797,0.2337150018314483,2,3,1,2,Mobile developer
44846,-1.3323139442691638,2,3,3,2,Mobile developer
44890,1.863516031664472,3,4,3,4,Mobile developer
44958,-1.3323139442691638,3,4,2,1,Mobile developer
45044,-0.7660808685591572,3,4,2,2,Mobile developer
45068,-0.31467708130229605,2,2,2,2,Mobile developer
45300,-0.7660808685591572,2,4,5,2,Mobile developer
45322,2.1668743183237185,2,4,1,2,Mobile developer
45520,1.0522491594799686,3,3,3,2,Mobile developer
45758,0.6519025769438392,2,4,2,3,Mobile developer
45842,0.7999480775414544,2,4,2,2,Mobile developer
45880,-1.3323139442691638,2,4,5,2,Mobile developer
45925,1.0700901520562303,3,3,2,2,Mobile developer
45946,0.6519025769438392,2,4,2,3,Mobile developer
46113,-1.3323139442691638,3,3,5,1,Mobile developer
46115,-1.3323139442691638,3,4,3,2,Mobile developer
46202,0.6519025769438392,2,4,4,2,Mobile developer
46221,-0.2176887854254132,3,4,2,4,Mobile developer
46233,0.2337150018314483,2,4,2,2,Mobile developer
46284,0.3485442902845928,2,4,3,2,Mobile developer
46319,0.5216980689224859,3,2,3,2,Mobile developer
46333,1.085465371624439,2,4,3,2,Mobile developer
46359,0.31286230513206925,3,5,3,2,Mobile developer
46452,0.2337150018314483,2,4,4,2,Mobile developer
46524,-1.3323139442691638,1,3,1,2,Mobile developer
46536,0.330703297708331,1,5,3,2,Mobile developer
46596,0.6851187890883096,2,5,2,3,Mobile developer
47006,1.0700901520562303,3,3,2,4,Mobile developer
47074,-1.3323139442691638,3,4,4,2,Mobile developer
47086,-1.3323139442691638,3,4,5,1,Mobile developer
47194,-0.7660808685591572,2,4,3,2,Mobile developer
47462,-1.3323139442691638,1,3,3,3,Mobile developer
47604,1.651698447334445,2,4,3,1,Mobile developer
47690,0.6519025769438392,3,4,3,2,Mobile developer
47728,0.6519025769438392,2,4,4,3,Mobile developer
47854,-0.7839218611354192,4,3,2,3,Mobile developer
47870,-0.31467708130229605,2,3,4,2,Mobile developer
47962,-0.4959387940443814,2,3,2,3,Mobile developer
47966,-1.3323139442691638,1,4,5,2,Mobile developer
47978,-0.33251807387855764,1,3,3,1,Mobile developer
48011,-0.3478932934467664,3,3,1,2,Mobile developer
48290,-0.31467708130229605,4,3,4,4,Mobile developer
48323,2.5059145901354887,4,4,2,1,Mobile developer
48411,0.2004987896869778,3,5,5,4,Mobile developer
48483,-1.3323139442691638,1,4,3,2,Mobile developer
48638,-1.3323139442691638,4,5,5,2,Mobile developer
48719,0.2004987896869778,2,4,2,2,Mobile developer
48746,1.4882777271686212,2,4,4,4,Mobile developer
48762,-1.3323139442691638,3,2,2,1,Mobile developer
48766,-0.462722581899911,2,3,2,1,Mobile developer
48786,0.7488908728207221,3,3,1,3,Mobile developer
48793,3.202352173866848,5,5,3,3,Mobile developer
48966,-1.3323139442691638,3,4,3,3,Mobile developer
48970,-1.3323139442691638,1,5,3,1,Mobile developer
49045,-0.2176887854254132,2,3,3,3,Mobile developer
49053,1.7665277357875893,4,3,2,1,Mobile developer
49169,0.2004987896869778,4,5,5,2,Mobile developer
49211,0.2337150018314483,3,4,3,1,Mobile developer
49279,-0.880910157012302,1,3,1,2,Mobile developer
49362,0.6519025769438392,2,4,4,2,Mobile developer
49403,-1.3323139442691638,2,5,2,2,Mobile developer
49417,-1.3323139442691638,1,5,3,1,Mobile developer
49632,-0.2176887854254132,3,4,4,2,Mobile developer
49658,1.1033063642007006,3,5,3,3,Mobile developer
49867,0.6519025769438392,4,4,3,3,Mobile developer
49904,-0.36573428602302815,3,4,2,1,Mobile developer
50013,-0.31467708130229605,2,3,5,2,Mobile developer
50032,-0.011318794643049641,4,2,3,3,Mobile developer
50403,-1.3323139442691638,5,1,5,1,Mobile developer
50419,-0.2176887854254132,2,5,5,1,Mobile developer
50423,0.6519025769438392,2,4,5,2,Mobile developer
50472,-0.7839218611354192,5,3,5,1,Mobile developer
