,Mac OS,Microsoft Azure,SharePoint,Windows Phone,iOS,Serverless,Mainframe,Raspberry Pi,Windows Desktop,Salesforce,Linux Desktop,Amazon Web Services (AWS),Arduino,WordPress,Android
3904,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1
3905,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0
3906,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0
3910,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
3911,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3912,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3913,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1
3914,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1
3915,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0
3917,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3919,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
3920,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
3921,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
3922,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3923,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1
3924,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
3925,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3926,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3930,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3932,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
3935,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0
3936,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3941,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
3943,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3945,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3946,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3947,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0
3949,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1
3950,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
3952,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
3953,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3954,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3956,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3959,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
3960,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3961,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3962,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
3963,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
3966,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3967,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3971,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3984,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3985,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
3986,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3988,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
3989,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
3992,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
3995,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
3996,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3997,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3998,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
4002,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
4003,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
4004,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
4009,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
4010,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
4011,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4014,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0
4017,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
4019,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
4020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4022,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
4025,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
4028,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
4030,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
4031,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
4033,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4036,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
4039,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
4040,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4041,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4044,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4045,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4046,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
4047,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
4048,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4051,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
4054,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1
4055,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4056,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4057,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
4058,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4059,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1
4061,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4064,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
4065,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4069,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4072,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
4073,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1
4075,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
4076,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4079,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
4081,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4082,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1
4083,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
4084,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4085,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4086,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4087,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
4089,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4091,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
4094,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4095,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
4096,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4097,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
4099,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0
4100,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4101,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0
4102,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4104,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4109,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4110,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4112,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
4113,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
4114,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
4115,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
4119,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
4122,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
4126,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
4127,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4129,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
4131,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4134,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
4135,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4137,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4138,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4139,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4142,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4144,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
4145,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
4146,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1
4147,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0
4150,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
4152,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
4153,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4154,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4156,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4158,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4159,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
4161,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1
4162,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4165,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
4167,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
4168,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4169,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
4170,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4171,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4173,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4175,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4176,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1
4177,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4180,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4181,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
4183,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
4187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4188,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
4189,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
4191,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4194,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
4197,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4198,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
4200,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
4202,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4206,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
4208,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
4211,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
4221,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
4223,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4224,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1
4226,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4227,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
4229,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
4233,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4234,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4238,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
4239,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
4240,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4244,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
4245,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
4246,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4251,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4253,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1
4256,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
4257,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
4259,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
4261,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
4262,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4263,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
4265,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4267,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4271,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
4276,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
4278,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
4281,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4284,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
4286,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
4288,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
4289,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
4291,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
4292,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
4293,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
4294,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1
4295,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4296,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4297,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
4299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4303,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
4304,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
4305,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0
4306,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
4307,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1
4308,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4309,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
4311,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4315,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4316,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4317,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0
4318,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
4319,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1
4324,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
4325,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4326,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4328,1,0,0,0,1,1,0,1,1,0,0,1,1,0,1
4329,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1
4330,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
4331,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
4332,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4333,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
4337,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
4338,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4340,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4342,1,0,0,1,1,0,0,1,1,0,1,1,1,0,1
4345,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
4347,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
4348,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
4349,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
4355,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
4356,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4357,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0
4358,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
4360,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4361,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4362,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
4364,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
4366,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
4367,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
4370,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4371,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4372,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4373,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4374,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4375,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
4376,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4378,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4379,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1
4381,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
4387,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4388,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1
4389,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0
4391,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4394,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
4395,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1
4396,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4397,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4398,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4403,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
4404,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4407,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4409,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
4410,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
4411,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4414,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
4415,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
4416,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1
4421,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4422,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
4426,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
4429,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
4432,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
4434,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
4438,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
4439,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4446,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
4448,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4452,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
4453,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
4455,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
4458,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
4459,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
4461,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
4462,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
4464,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4466,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
4471,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4472,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
4473,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
4474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4475,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
4477,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4480,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
4482,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
4483,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
4484,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
4485,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
4486,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
4487,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
4488,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
4489,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
4492,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
4493,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
4494,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1
4499,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
4501,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
4502,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
4504,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4505,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
4506,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
4507,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
4508,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
4509,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4512,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
4514,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4515,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4516,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0
4518,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
4521,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4522,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
4526,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
4529,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4532,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
4533,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4535,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
4538,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1
4540,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4541,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
4542,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4543,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
4545,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4546,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
4548,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4549,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
4552,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
4554,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
4556,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
4557,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
4559,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4564,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4565,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0
4567,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
4569,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4571,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4573,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
4574,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
4575,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
4576,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
4577,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4579,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
4581,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
4582,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
4583,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
4585,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
4586,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4588,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4591,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4596,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1
4597,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4598,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
4601,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4602,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
4603,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
4605,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
4607,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1
4608,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4611,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4612,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4613,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
4614,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4615,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
4618,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
4619,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
4624,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4625,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4626,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4627,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
4629,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
4631,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4632,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4640,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4641,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4644,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
4648,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
4654,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4655,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
4656,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
4658,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1
4659,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4661,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4663,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4666,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4670,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4673,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
4674,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
4676,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
4677,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1
4678,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
4679,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
4680,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
4681,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4686,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4687,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1
4689,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
4691,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4692,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
4694,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1
