,Mac OS,Microsoft Azure,SharePoint,Windows Phone,iOS,Serverless,Mainframe,Raspberry Pi,Windows Desktop,Salesforce,Linux Desktop,Amazon Web Services (AWS),Arduino,WordPress,Android
191,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
193,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
196,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
198,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
206,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0
210,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
211,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
216,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
218,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
220,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
221,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
225,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
229,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
230,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
232,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0
234,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
237,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
241,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
242,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
249,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1
250,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
252,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
253,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
254,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
255,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
256,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
257,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
258,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
264,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0
266,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
267,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
272,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
273,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0
274,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
275,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
