,Mainframe,Raspberry Pi,Linux Desktop,SharePoint,Amazon Web Services (AWS),Android,Windows Phone,WordPress,iOS,Mac OS,Microsoft Azure,Arduino,Serverless,Salesforce,Windows Desktop
256,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
257,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
258,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
260,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
264,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
265,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
266,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0
267,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
272,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
275,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
276,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
281,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
282,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
283,0,1,1,0,1,1,0,1,0,1,0,0,1,0,1
284,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0
285,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
288,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
289,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
291,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
292,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
294,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
295,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
296,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
297,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
306,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
307,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
308,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
309,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
310,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
312,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
316,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
318,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
320,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
324,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
327,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
328,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
329,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
330,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
331,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
334,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
336,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
338,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
340,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1
341,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
342,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0
343,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
344,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
347,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
349,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
355,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
357,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
362,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
363,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
364,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
365,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
366,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
372,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
373,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
374,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
376,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
378,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
380,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
385,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
388,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
390,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
391,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
395,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
396,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
397,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
400,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
401,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
406,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
407,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
408,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
412,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
414,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
417,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
418,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
420,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
426,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
428,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
429,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
430,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
431,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
432,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
434,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
435,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
436,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1
437,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
438,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
439,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
441,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
443,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
444,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
446,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
449,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
454,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
457,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
458,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1
460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
463,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
466,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
467,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
468,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
470,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
471,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
472,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
474,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
476,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
477,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
479,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
482,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
484,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
488,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
489,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
490,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
492,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
493,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
494,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
497,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
499,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
500,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0
502,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
503,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
504,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0
505,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
508,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
509,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
510,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
511,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
512,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0
514,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
515,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
516,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
518,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
520,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
524,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
525,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
529,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
530,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
531,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
532,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
533,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
534,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
539,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
541,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
545,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
546,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
548,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
552,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
558,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
562,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
564,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
567,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
568,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
570,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
571,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
576,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
577,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1
579,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
581,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
582,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
584,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
585,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
586,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
589,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
594,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
595,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
597,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1
598,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
599,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
603,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
604,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0
605,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
606,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
608,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
609,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
612,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
613,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
614,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
616,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
617,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
618,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
621,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
623,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
624,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
625,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
626,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0
627,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
634,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
635,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
643,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
646,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
647,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
648,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
650,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
651,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
655,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
657,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
658,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
663,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
666,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
668,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
669,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
673,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
674,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
678,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
680,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
681,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
682,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
684,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
687,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
688,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
689,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
690,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
691,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
693,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
694,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
696,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
697,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
702,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
703,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
706,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
707,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
708,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
710,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
711,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
713,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
717,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
718,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
719,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
721,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
722,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
723,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
724,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
725,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
727,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
728,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
730,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
731,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0
732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
733,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
735,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
736,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
737,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
738,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
740,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
742,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
743,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
745,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
749,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
753,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
756,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
757,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
759,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
760,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
765,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
769,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
770,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
772,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
773,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
774,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
777,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
778,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
779,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
780,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
