,Spark,Xamarin,Hadoop,Node.js,.NET Core,AngularJS,Cordova,Firebase,React
324,0,0,0,0,0,1,0,1,0
329,0,1,0,0,1,0,0,0,0
330,0,1,0,0,0,0,0,0,0
331,0,1,0,1,0,1,0,0,0
334,0,0,0,1,0,0,1,1,0
336,0,0,0,0,0,0,0,1,1
342,0,0,1,1,0,0,0,0,0
344,0,0,1,1,0,0,0,0,0
345,0,0,0,0,1,1,0,0,1
349,0,1,0,0,1,0,0,0,1
350,1,0,0,0,0,0,0,0,0
351,0,0,0,1,0,0,0,0,1
352,1,0,1,0,0,0,0,0,1
355,0,0,0,1,0,0,0,0,0
357,0,0,0,1,0,0,0,0,1
359,0,0,0,1,0,0,1,0,1
362,0,1,0,1,1,1,0,0,0
363,1,0,1,0,0,1,0,0,1
364,0,0,0,0,1,0,0,0,0
370,0,0,0,1,0,1,1,0,1
373,0,0,0,0,1,0,0,0,0
374,0,0,0,1,1,0,0,0,0
376,0,0,0,0,0,1,0,1,1
380,0,0,0,0,1,1,0,0,0
385,0,0,0,1,0,1,0,0,1
386,0,0,1,0,0,0,0,0,0
388,0,0,0,1,0,0,0,0,1
390,0,0,0,1,0,1,0,0,1
391,0,0,0,1,0,1,0,0,1
395,0,1,0,0,1,0,0,1,0
397,0,0,0,0,0,1,0,0,0
398,0,1,0,0,1,0,0,0,0
402,0,0,0,0,0,0,0,0,1
405,0,0,0,1,0,0,0,0,0
406,0,1,1,1,0,1,0,0,0
407,0,0,0,0,1,0,0,0,0
408,0,0,0,0,1,0,0,0,1
417,0,0,0,1,0,1,0,0,1
418,0,0,0,1,1,0,0,0,0
419,0,1,0,0,1,0,0,0,0
420,0,0,1,1,0,0,0,0,1
422,0,1,0,0,1,0,0,0,0
425,1,0,1,0,0,0,0,0,0
426,0,1,0,0,1,0,0,0,0
429,1,0,0,1,0,1,0,0,1
431,0,0,1,0,0,1,0,0,1
433,0,0,0,1,0,1,0,0,0
435,1,0,1,1,0,1,1,1,0
436,0,1,0,1,1,1,0,0,0
437,1,0,0,0,0,0,0,0,0
438,0,0,0,1,0,0,0,0,0
444,1,0,1,0,0,0,0,0,0
446,0,0,0,1,0,1,0,0,1
447,0,0,0,0,1,0,0,0,0
448,0,1,0,0,1,1,0,0,0
450,0,0,0,0,1,0,0,0,0
453,0,0,0,0,1,0,0,0,0
460,0,0,0,0,1,0,0,0,0
463,1,0,0,1,0,0,0,0,0
466,0,1,0,1,1,1,0,0,0
470,0,0,0,0,1,0,0,0,0
472,0,1,0,1,1,1,1,0,0
475,0,0,0,0,0,1,0,0,0
477,0,0,0,0,1,0,0,0,0
481,0,0,0,0,1,0,0,0,0
489,0,0,0,0,0,0,0,1,0
492,0,0,0,0,1,0,0,0,0
496,0,0,0,1,0,0,0,0,1
499,0,1,0,0,1,0,0,0,1
501,0,0,0,0,0,1,0,0,0
502,0,1,0,1,0,1,0,0,0
503,0,0,0,0,1,0,0,0,0
504,0,0,0,0,0,1,0,0,1
506,1,0,0,0,0,0,0,0,0
507,0,0,0,1,0,1,0,0,0
508,0,0,0,0,1,0,0,0,0
509,0,0,0,1,0,1,0,0,0
510,0,1,0,1,0,1,0,0,0
512,0,0,0,0,0,0,0,0,1
514,0,1,0,1,0,0,0,1,1
515,1,0,0,0,0,0,0,0,0
516,0,0,0,0,1,0,0,0,1
517,0,1,0,0,1,0,0,0,0
518,0,0,0,1,1,1,0,1,0
522,0,0,0,0,1,0,0,0,1
529,0,0,0,0,1,0,0,0,0
530,0,0,0,0,0,0,0,0,1
531,0,0,0,0,1,1,0,0,0
533,0,0,0,1,0,0,0,1,1
534,0,0,0,1,0,0,0,0,1
535,0,1,0,0,0,0,0,0,0
536,0,1,0,0,1,0,0,0,0
548,0,0,0,1,0,1,0,1,1
552,0,0,0,0,1,0,0,0,1
557,0,0,0,0,1,0,0,0,0
558,0,0,0,0,0,1,1,0,0
562,0,0,0,0,1,0,0,0,0
564,0,0,0,0,1,0,0,0,0
565,0,0,0,1,0,1,0,0,1
574,0,0,0,0,1,0,0,0,0
576,1,0,0,1,0,1,1,0,1
578,0,0,0,1,0,1,0,0,1
579,0,1,0,0,1,0,0,0,0
580,0,0,0,1,0,0,0,0,1
581,1,0,1,1,0,1,0,0,1
582,0,0,0,0,0,1,0,0,0
584,0,1,0,1,1,1,1,0,0
585,0,0,0,1,0,1,0,0,0
586,0,0,0,0,0,0,0,0,1
587,0,0,0,0,0,0,0,0,1
589,0,0,0,1,1,1,0,0,0
591,0,0,0,0,1,0,0,0,0
592,0,0,0,1,1,1,0,0,0
593,0,0,0,0,0,1,0,0,0
597,0,0,0,1,0,1,0,0,1
599,0,0,1,0,0,0,0,0,1
600,0,1,0,0,0,0,0,0,1
603,0,0,0,1,1,1,1,0,1
604,0,0,0,1,0,0,0,0,1
605,0,0,0,1,0,0,0,0,1
606,0,1,0,0,0,0,0,0,0
608,0,0,0,0,1,1,0,0,1
609,0,0,1,1,0,1,0,0,0
611,0,0,0,0,0,1,0,0,0
613,0,0,0,1,1,0,0,0,1
